term,2014-10-15,2014-10-22,2014-10-01,2014-10-08
hulk,1,8,0,2
hull,2,12,1,0
humanbeings,3,3,0,1
humanism,1,2,0,3
humanist,0,3,1,3
humanitarian,2,1,0,2
humanrtsv,0,1,1,2
hume,1,2,1,0
humiliate,2,1,3,0
humiliating,0,1,2,2
humility,9,1,0,2
humour,1,1,1,0
hun,1,0,1,13
hunch,2,2,1,0
huntbird52,4,6,0,2
huntedhorse,4,1,0,11
hunts,0,4,1,6
hurdle,1,1,0,1
hurricane,5,5,0,6
hushyomouth,1,1,0,1
hustling,50,3,0,17
hut,1,0,2,1
hutch,0,2,4,3
hvac,1,2,0,5
hybrid,1,0,1,3
hydro,1,2,2,0
hyfr,1,1,1,0
hygiene,3,1,0,1
hyper,1,6,0,5
hyperbole,0,4,2,4
hypocrits,1,1,0,1
hystericalblkns,1,0,1,2
hysterically,6,0,1,2
hеrе,1,0,1,1
hоrny,0,1,2,1
iam,0,1,3,1
iamddanz,1,2,0,3
iamemix,1,0,3,5
iammikebrown,1,0,17,5
iamyaokhari,2,1,1,0
ianbremmer,0,1,1,4
ib,0,4,1,1
ibrox,21,0,2,7
icc,1,0,7,4
icc4israel,6,0,6,5
iced,0,4,3,4
icewear,2,1,1,0
ida,1,1,0,4
idaho,1,0,2,3
identical,2,0,2,1
identification,1,0,2,1
identifying,2,2,0,7
identities,0,2,3,5
idfspokesperson,1,2,0,1
ididsocnu,1,1,0,1
idlenomore,1,0,5,4
idolised,0,1,10,5
idolize,3,4,0,2
idolizing,1,2,0,1
ids,2,1,0,2
ifwt,1,8,9,0
ight,1,1,0,3
ignoramus,1,0,1,2
ignorantly,0,1,1,1
iguala,1,2,0,4
ihatetimwaterman,1,2,0,1
iheartradio,1,1,0,4
ihope,1,2,0,1
ihumble,1,0,2,2
ik,3,0,2,3
ike,1,0,1,4
ikihi1,0,1,1,1
ikr,1,3,1,0
illegalaliens,0,4,1,1
illinifootball,0,3,1,1
illogical,4,5,2,0
ills,1,3,0,3
illustrated,0,3,3,5
ilnewsnetwork,1,0,2,1
ily,0,2,1,2
im_beaming,2,0,1,1
imadeintruth,1,1,0,1
imaumbn,1,1,0,1
imbalance,1,2,0,1
imbecile,1,3,1,0
imbeciles,2,2,0,1
imf,2,0,1,1
imhotep,1,0,1,1
imjustceej,4,0,2,1
immaturity,0,1,1,2
immensely,0,1,1,2
immigrationreform,2,1,2,0
imp,1,3,0,2
impactful,1,0,1,3
impacting,2,1,0,1
imperial,2,3,0,3
implement,3,2,0,6
implemented,0,14,5,4
implicated,1,3,2,0
implied,1,4,0,6
implode,2,5,0,1
implying,3,2,0,5
imposing,1,1,0,1
imposter,2,2,0,1
impotent,0,2,1,1
impoz,0,4,2,1
impress,3,3,0,3
imprison,2,1,0,1
imprisoned,4,0,1,1
improves,1,0,1,1
imraansiddiqi,1,2,0,2
imranhsarker,1,0,2,8
in1950s,0,2,12,3
inaccuracies,1,1,1,0
inactivity,1,1,0,1
inadvertently,0,3,3,1
inane,1,1,4,0
inaudible,1,1,0,1
inbound,1,0,1,1
inbreds,0,1,1,1
incensed,0,1,1,3
inches,3,3,0,2
inciteful,1,2,1,0
incites,3,3,21,0
inclusion,12,11,0,2
incoming,0,3,2,3
inconsistencies,1,5,0,1
inconvenienced,1,1,1,0
inconvenient,5,91,0,5
incredulity,1,0,1,1
incriminating,6,2,0,1
independent_ie,0,2,3,4
independently,1,0,2,1
index,1,4,0,4
indicator,0,1,3,4
indiebrew,1,1,0,2
indifference,0,9,3,4
indigenistas,2,0,2,2
indignation,4,3,0,2
indigojourney,1,0,1,1
indirectly,1,1,0,2
indite,0,3,3,2
individually,2,2,0,2
indoctrinating,3,0,1,1
indomitable69,6,10,0,3
inducing,1,4,2,0
indulge,1,0,1,2
indulgent,9,5,0,1
indy50081,15,0,19,30
indyenigma,1,1,0,4
indyref,1,0,4,6
indystar,3,1,1,0
inept,0,1,9,1
ineptitude,1,0,3,1
inequalities,1,3,0,2
infact,1,1,0,1
infamous,0,4,11,12
infancy,1,1,1,0
infantile,1,2,0,2
infection,2,1,0,1
infer,1,1,2,0
infested,0,4,5,5
infiltrating,0,2,3,1
infiltrators,1,1,1,0
infinite,0,2,1,1
infiniteideal,3,2,0,8
inflame,1,5,0,1
inflamed,0,3,1,1
inflicted,1,5,0,1
influences,1,2,0,3
informant,3,9,1,0
informants,11,8,2,0
informing,1,0,4,3
infractions,1,1,1,0
infringed,1,0,5,1
infuriates,1,2,0,1
ingrates,0,1,1,1
inhabit,1,1,0,1
inherently,2,1,0,1
inherited,15,3,0,1
inhuman,2,2,0,1
ini,0,1,1,1
inj,1,3,0,1
injecting,0,1,1,1
injunction,2,0,56,2
ink,2,2,3,0
inmate,0,3,1,5
inmatedoyle,1,0,1,1
inmates,0,1,3,3
inn,0,1,1,2
innis,2,1,0,1
innovation,2,0,1,1
innovative,1,0,1,2
inquiries,1,0,1,2
inquiring,0,2,3,3
inquiry,5,210,14,0
insallah,1,0,1,2
inscriptomedia,0,1,1,4
insecure,2,1,0,1
insecurity,0,1,2,1
insidelookgvh,1,2,0,1
insiders,1,1,0,9
insinuates,0,2,1,1
insinuating,0,3,1,3
insisted,9,4,0,3
insisting,4,3,2,0
inspires,0,11,1,3
installment,1,2,1,0
instantfollowback,1,0,1,7
instigator,0,4,6,6
instill,1,4,0,3
instincts,0,2,1,1
institutions,2,10,0,5
insulted,2,8,0,4
insure,2,1,2,0
insured,1,0,1,1
intake,2,0,1,2
integral,1,1,3,0
integrated,9,2,0,10
integration,0,3,2,2
intellectualize,1,0,1,1
interacting,1,0,1,1
intercepted,1,0,1,1
interchangeable,1,1,0,1
intercultural,1,1,0,1
interestin,1,2,0,1
interestingly,2,2,0,2
interestingnews,1,0,2,1
interfere,1,3,4,0
interior,12,2,0,1
intern,0,4,9,2
internalized,0,3,2,1
internetmarketing,0,1,6,6
interpretation,0,9,1,3
interracial,0,10,5,4
interrupt,4,0,355,13
interruption,0,2,10,2
intersection,7,11,0,46
intersections,1,3,0,5
interstate,0,27,2,2
intervened,0,1,29,1
intervenes,3,8,0,1
interventions,2,3,0,178
inthamood,1,3,2,0
intimately,1,0,1,2
intl,0,17,4,2
intolerance,0,1,2,1
intoxication,2,2,1,0
intramural,11,8,0,6
intriguing,2,2,1,0
intro,4,1,4,0
introduce,0,4,20,6
introduces,2,0,1,1
introducing,0,4,2,2
intruder,1,2,3,0
invade,12,96,0,9
invaded,4,7,0,4
invader,2,1,0,1
invaders,1,1,1,0
invasion,5,5,0,1
invasions,1,1,0,2
inve,1,3,4,0
inventing,0,2,1,1
invention,0,2,1,1
investi,2,1,5,0
investigates,0,1,70,1
invincible,1,1,0,1
invites,4,1,0,3
invoked,8,3,0,1
invokes,1,0,32,12
invoking,1,48,1,0
inzaghi,0,3,1,1
ion,12,4,0,4
ios,1,0,1,6
iow,2,2,1,0
ipa,9,0,16,1
ipswich,3,2,0,2
iraas,4,0,1,1
ire,2,0,1,1
ireland0828,5,0,1,1
irishman,0,2,9,4
irishtimes,2,0,2,5
iron,3,27,2,0
irons,0,1,1,2
irreplaceable,1,1,4,0
irritated,0,3,1,3
irritates,2,1,0,1
irritating,0,1,3,10
irsscandal,1,0,3,2
irwin,3,2,1,0
isa,1,1,1,0
isaac,0,2,1,2
iseeshrubs,35,48,0,3
ishaantharoor,2,1,1,0
islamophobia,0,1,2,3
islands,1,0,2,5
isns,0,1,1,3
isolate,2,0,2,2
isolation,10,0,3,1
israels,1,0,1,1
isreal,0,1,1,2
issis,1,1,0,1
isupportlawenforcement,1,1,0,2
italians,1,1,0,1
itcd,0,1,2,2
itching,1,1,1,0
itchy,1,0,1,1
itd,1,0,1,1
item,4,0,4,2
itfc,1,2,0,2
iti,2,1,0,3
itldoranch,1,1,0,1
itsover,1,1,0,2
itsthetruthanyway,1,0,1,2
itv,0,1,1,5
itvfootball,0,5,4,2
itweetz,1,1,1,0
itz,1,3,0,1
iva003,2,2,2,0
ivy,3,8,0,2
ivy_ferguson,1,0,2,1
iyamsamsamiyam,1,1,0,1
iz,0,2,1,2
izens,51,0,6,38
j201,1,0,2,1
j2150,1,0,1,2
j2150h,1,0,1,1
j66,2,1,1,0
j8p,0,1,2,1
jab,1,0,1,1
jabartistry,0,2,3,16
jackboot,3,1,1,0
jackets,0,1,3,4
jackherer20,2,8,0,5
jacking,0,7,1,1
jacksonville,0,1,3,2
jacob,0,2,3,4
jakarta,0,4,2,2
jake,5,10,3,0
jakepentland,2,0,1,2
jamaicagleaner,1,1,4,0
jamaicans,0,1,3,2
jamaicaobserver,0,2,3,2
james_olsson,4,1,0,1
jamesritch1,1,1,0,1
jami_usa,2,1,0,2
jamiastarheart,1,2,0,1
jamie,6,3,0,7
jammiewf,2,1,0,1
jams,1,3,0,5
jandexd,1,1,0,3
janetgradio,0,15,6,2
janethevirgin,1,1,0,1
janice,2,0,1,2
janishargabriel,1,0,1,2
jannab17,2,4,0,5
japitter,2,1,0,10
jarjarbug,1,2,5,0
jarrett,1,3,1,0
jarvis,0,1,2,1
jashby360,7,7,1,0
jasonrileywsj,2,6,0,1
jasonstl,3,1,3,0
javascript,1,0,2,1
javier,10,0,3,4
jaw,2,0,3,7
jayjames,1,0,2,1
jaykayg,0,3,6,8
jaywalk,2,0,1,1
jaywalker,2,3,0,2
jaywalkers,1,2,1,0
jayzslifeandtimes,2,0,1,1
jazz_justice1,1,0,3,2
jazzyfey20,0,1,1,4
jbrous14,1,3,0,3
jbrownedianis,3,1,0,2
jc4451,1,7,0,4
jc7109,1,6,0,1
jcleezy03,2,4,0,3
jcope138,1,0,1,2
jean,2,8,0,1
jeanniemcbride,1,1,0,3
jeans,11,4,0,6
jeezy,7,1,0,1
jeffrey,9,7,1,0
jeffreyguterman,1,0,1,1
jeffsnation,10,1,2,0
jelly,2,1,0,1
jenna,3,1,0,2
jenniferjoyceca,2,1,0,1
jennmjack,9,1,0,5
jensen,0,1,1,2
jeremykohler,0,1,4,1
jericho,1,0,2,1
jermaine,1,1,0,1
jerome,0,7,4,9
jerrymcclellan2,8,1,0,1
jerseys,1,0,2,7
jess,0,3,10,1
jessehimself,4,1,0,42
jessematthew,2,0,1,1
jessica13777,11,3,12,0
jesuit,1,1,0,2
jetta_rae,1,1,0,1
jg,0,1,2,2
jhb12three,9,5,0,1
jhonaiker,0,4,2,4
jib,0,1,3,1
jilevin,0,1,2,5
jimcc66,0,1,1,1
jimmybear2,2,2,0,6
jimmybullard,1,2,0,1
jimmyfallon,0,1,2,3
jimmyrussells5,1,1,0,1
jimmystanton191,3,7,0,6
jinxx,3,1,0,2
jipso19,0,1,1,1
jis,1,1,1,0
jitterbug212,6,1,0,1
jive,0,2,1,1
jkdriss,2,2,0,1
jlp,1,0,2,1
jlptalk,0,4,1,1
jmannies,1,2,0,7
jnmbrats,0,1,5,2
joanrivers,2,0,1,1
jodipetersen1,3,0,2,2
joebiden,0,2,1,2
joederosacomedy,1,1,1,0
joelachenbach,1,1,1,0
joelcurrier,8,2,0,15
joelosteen,6,2,1,0
joerogan,1,1,0,3
joespectr,6,11,0,1
joeyjacksonesq,3,1,0,2
jog,2,1,1,0
johnathan,0,1,1,1
johnfromcranber,0,1,1,1
johnfugelsang,4,16,0,2
johngreen,1,1,1,0
johnmccain,2,1,1,0
johnmurer,1,6,0,4
johnny_fry6,2,3,2,0
johns,0,1,1,8
johnston,1,1,0,1
joints,0,1,1,1
jolly,1,2,0,2
jonahnro,1,6,2,0
jones_gejihawke,0,1,1,2
jonesy,1,1,1,0
jonswaine,0,9,7,10
joplin,10,0,1,12
jorgenseptember,1,0,1,1
joshwright45,0,1,1,1
joswabeat,2,2,0,10
josé,1,0,1,5
joy31608,1,0,1,1
joyce,2,0,1,2
joyful,1,3,1,0
joyous,1,0,1,1
jrehling,16,2,0,44
jrnl,2,0,2,1
js,1,2,0,13
jsavite,3,2,0,1
jscherretz,2,0,2,2
jsumthin,7,6,0,1
jt3151,2,1,0,2
jthomas309,0,1,3,1
jtinfo,0,1,1,2
juddlegum,1,0,1,3
judgmental,0,4,1,1
juditheayers,1,1,2,0
juice,2,5,2,0
juicy,1,0,1,2
juliawolfe,0,2,5,1
julie,15,9,52,0
julius_s_malema,6,1,0,12
jumper,0,4,5,2
jumpers,0,3,8,3
june,0,3,7,5
junebug1952,1,5,0,6
juniitto_x3,1,1,2,0
juries,5,7,9,0
jurisdiction,0,7,7,3
jurisdictions,1,0,2,2
juss,0,1,2,2
justcurious,0,1,1,1
justgiving,1,0,2,1
justice4,0,1,1,1
justice4kj,7,0,4,7
justice4michaelbrown,2,0,1,2
justice4trayvon,1,3,3,0
justicedepartment,9,7,1,0
justicefor,1,0,1,1
justiceforericgarner,0,3,5,1
justiceforjohncrawford,9,0,7,12
justiceforkj,1,0,18,5
justiceforlennonlacy,2,3,0,2
justiceformichael,1,8,3,0
justicefortrayvonmartin,2,0,2,1
justiceputnam,1,2,1,0
justifications,2,1,0,1
justinbieber,1,4,2,0
justincapps,2,0,3,3
justinmarkg,0,1,1,2
justinryancombs,3,1,0,1
justly,3,4,1,0
justsikko,3,4,0,1
juve,1,3,4,0
juvenile,0,4,8,2
juventus,2,2,1,0
juxtapose,2,1,0,1
jwdavis53,1,0,1,1
jwvu00,3,3,1,0
k9s,1,1,0,1
kagrox,2,0,4,1
kaiwolfy,3,6,0,18
kalaax008,0,1,1,1
kamikaze_98,0,14,1,3
kamjosky,0,5,6,1
kanchelskis,1,2,0,1
kanyewest,0,36,8,5
kardashians,1,2,0,2
kareem,1,6,0,3
kat,2,1,0,1
katcapps,0,1,11,5
kathi,6,1,3,0
kathrynbruscobk,3,0,2,1
katina,3,0,5,2
katomart,2,7,0,5
katyslaty,19,1,0,1
kauai,0,1,1,1
kav_p,0,1,2,2
kaylamb510,1,2,0,1
kaylandanton,2,0,1,1
kaylee,1,0,1,2
kc2stlchef,0,4,4,5
kcarr78,1,3,1,0
kcollege,1,1,0,1
keaton,1,1,0,1
keefe,1,1,9,0
keen,180,3,0,2
keene,490,42,0,1
keenly,3,1,1,0
keepers,0,2,2,9
keepinthefaith8914,9,1,1,0
keepitrealist,0,6,1,9
kegan05,6,2,0,2
keithboykin,1,1,2,0
kekepalmer,1,0,2,2
kelvinssito,0,2,4,9
kemp,0,1,5,7
kendall,2,2,0,2
kennagq,1,7,0,1
kennethjpruitt,1,1,0,1
kent,6,2,0,8
kentucky,4,1,0,84
kenwahl1,1,0,2,1
kerirn,0,2,16,13
kerrypicket,2,1,0,6
ketchup,1,1,0,2
kev,0,2,3,1
kevindatruth88,5,1,0,3
kevinfrezhx3,2,3,0,3
kevinhart4real,0,1,4,3
keyboards,1,1,0,1
keynes,0,1,2,1
kfc,2,6,0,9
kgwnews,2,1,0,1
khaledbeydoun,21,0,2,8
khan,1,2,0,2
khan_shegog,2,1,2,0
kharyp,14,0,7,2
khori_4,1,1,0,1
khou,0,5,4,5
ki,3,4,0,3
kia,0,3,2,1
kiaspeaks,0,2,2,1
kicker,0,3,4,1
kickstarter,0,3,3,4
kidd,1,0,4,2
kidnapping,0,2,1,5
kiekowlive,3,1,0,3
kiev,0,3,2,2
killary,1,1,1,0
killedbycops,15,10,0,28
killedbypolice,0,4,4,7
killermartinis,1,1,1,0
kilt,2,0,1,2
kim_tastiic,2,0,1,1
kimbrowntalks,1,1,1,0
kimkardashian,0,3,4,1
kinder,2,2,1,0
kingcenteratl,1,1,4,0
kingcidot,1,2,0,1
kingdaceo,4,1,0,13
kingdoms,0,2,2,1
kingian,1,2,0,2
kingjames,0,2,2,2
kingmebaby1,2,11,0,3
kingmike33,0,1,6,2
kingshighway,1,1,0,1
kingspearchuckr,0,3,1,1
kingtungsten,1,0,1,1
kinney,0,2,1,1
kirksville,3,0,2,3
kisses,2,1,0,4
kitchens,1,4,2,0
kitoconnell,1,0,1,1
kittyfitz50,3,0,3,3
kittykattaustin,8,1,1,0
kittykittykimmy,2,3,0,1
kjwolf7,7,5,0,5
kkkop,0,4,1,1
kkkops,0,2,1,1
klinghoffer,9,1,0,1
klopp,1,0,3,3
klustout,1,0,4,1
km,1,0,5,1
kmart,0,6,3,2
kmbc,2,3,0,5
kmovnewsfeed,5,1,0,13
kn,2,0,1,1
kneels,0,1,1,1
knit,0,1,2,1
knives,1,1,0,2
knob,1,2,0,3
knockoutgame,2,3,1,0
knodomo,7,3,0,3
knot,2,3,3,0
knowjusticeknowpeace,2,1,0,1
knuckles,0,2,2,2
kobani,2,1,0,25
kobebryant,0,1,1,1
kochbrothers,2,1,0,2
kony2012,1,2,3,0
koolaid,2,3,0,2
koos,1,0,1,7
kotaku,1,0,5,4
kp,0,1,4,4
kp24,1,0,3,2
kphed,2,1,0,1
kplr11,0,1,5,1
kpsundayworld,4,0,1,1
krazy,1,0,1,1
kris,0,1,2,4
krislc,2,0,2,1
kristin,1,0,1,1
kristysanborn,7,6,0,4
kristyt,0,1,2,8
kt2,1,1,1,0
ktla,0,3,1,1
ktsa550,2,0,1,3
kualalumpurpost,1,0,2,1
kurdistan,0,1,2,5
kurds,7,3,0,9
kush,2,3,1,0
kushaalpatel,0,1,1,1
kvayozone,3,2,0,6
kwbr1960,0,1,1,1
kybelle1957,0,1,1,1
kylie,0,2,1,1
kzoo2ferguson,2,2,0,2
l8,0,2,1,1
l9t,2,0,1,1
labs,2,1,0,3
laced,1,4,0,2
lachlan,0,1,1,1
lacrosse,2,8,0,1
ladder,2,0,1,1
ladue,1,3,0,1
ladygaga,0,1,2,1
lagging,0,1,5,5
lagoonlizard66,2,8,1,0
lakers,2,0,16,64
lakes,2,1,0,1
lalo__stl,18,3,0,4
lamb,3,1,0,3
lamente_macabra,2,2,0,4
laments,2,7,0,2
lamont,3,1,13,0
lamontlilly,1,0,2,3
lamproce,0,1,1,1
lana_chula,1,5,0,3
lance,2,3,7,0
landlords,3,2,1,0
laney,7,2,2,0
langston,2,0,2,3
lansdale,5,2,0,19
lasvegas,2,1,1,0
lateaserikard,0,7,4,2
latenightseth,2,0,3,2
latestnews,1,0,3,2
latinodem54,1,0,2,4
latinolivesmatter,0,2,1,1
latinovoices,1,0,1,1
latintwitter,19,2,0,6
latitude,2,2,0,1
lattegriot,0,7,1,2
lattes,1,1,0,1
lauderdale,1,2,2,0
laughingstock,1,1,1,0
launchers,1,0,2,2
launching,2,5,2,0
laureldavilacpa,1,0,1,1
laurieskrivan,0,2,1,5
lavenajohnson,0,1,10,3
lavernecox,4,1,0,1
lawdamercy,0,1,1,2
lawmaker,7,3,0,2
lawmakers,4,0,1,2
lawncareg,22,9,0,6
lawson,1,2,0,4
lawton,0,6,14,9
layers,1,0,5,5
lays,0,3,3,1
lc,1,5,2,0
ldrs,1,0,1,2
leaderless,2,1,0,3
leah,4,2,0,1
leahr77,3,1,0,2
leaker,1,10,3,0
leaking,16,100,7,0
leaky,2,1,1,0
leanforward,1,0,1,1
leap,0,3,3,2
leaps,0,2,2,3
learjetter,3,3,16,0
learnmore,1,0,1,1
learns,3,6,0,2
leary,2,1,1,0
lease,1,2,1,0
leash,1,2,1,0
leather,1,3,8,0
lebatardshow,1,0,1,10
lecrae,0,1,2,1
lecturer,0,1,1,3
lede,2,1,1,0
leeadams5294,1,1,0,1
leetrbl,0,2,1,3
legalization,0,5,1,1
leggings,1,0,1,1
leginsurrection,3,6,7,0
legion,0,1,2,2
legislature,1,2,3,0
legitimized,1,1,1,0
lego,1,0,2,3
lehmann,3,0,1,4
lenadunham,1,0,1,8
lengthy,0,3,3,1
lennonlacy,13,17,0,11
leonard,1,0,3,6
leopold,1,1,0,1
lerner,1,0,1,1
les,0,2,6,2
lesleymcspadden,3,0,3,1
leslie,1,13,0,7
lesliemac,6,1,0,2
lesliemarshall,0,10,1,1
lesm,3,0,1,1
letat_lechat,1,0,2,2
letsmove,0,1,1,1
letusbreathe,0,1,1,6
levar,0,1,1,2
levin,1,198,1,0
lexisb,1,0,4,3
lg4lg,1,2,0,1
li,3,0,2,1
liability,0,2,3,3
liable,2,1,0,2
liaison,0,1,1,1
liars_never_win,3,3,0,1
libbed,0,3,3,2
libel,0,3,1,2
liberalbutthurt,0,4,1,2
liberalhdwoman,8,11,0,1
liberallogic,0,8,4,3
liberalphenom,1,1,0,2
liberalsarecool,5,14,0,1
liberaltreason,1,1,0,1
liberated,1,2,1,0
liberian,2,0,5,2
licensed,3,1,0,3
licking,1,2,1,0
lieutenant,2,1,2,0
lifelong,0,2,3,4
lifers,0,3,1,4
lifes,3,1,0,1
lifeteen,2,0,2,3
lighten,0,2,2,3
lightly,0,7,1,2
lik,1,2,0,1
liketherivers,0,29,3,4
likewise,0,3,2,1
lilbrownsuga,0,1,1,1
lilcorgi,2,0,3,3
lilduval,0,3,2,2
lilkim,1,0,17,4
lillyafowler,3,2,0,5
lilmissprepper,4,2,0,2
liltunechi,0,3,2,2
lindasuhler,0,1,4,1
lineker,2,0,1,1
linemen,1,0,1,1
ling,0,2,1,2
linger,2,1,0,2
lions,2,3,3,0
lips,0,6,8,3
lipstickyoda,0,1,1,1
liquid,4,0,2,1
lisset_marie,2,0,1,2
listener,1,1,1,0
listeners,0,2,2,2
listenlive,3,1,2,0
listings,3,0,1,4
lite,1,1,0,3
liteison,2,0,1,1
literacy,0,2,3,1
lithium,0,1,1,1
litmus,1,3,0,1
liveandascend,12,36,0,10
liveblog,3,0,2,2
livefeed,0,2,1,7
livelihoods,0,1,1,1
livemusic,2,0,1,1
livesmatter,0,4,1,2
livest,0,1,1,3
livestreamed,3,1,0,5
livid,2,3,1,0
livonia,2,0,2,1
livе,3,0,8,1
ljspagnoli,1,1,0,2
llmajer,1,1,0,2
llp,2,2,2,0
lmfaoo,0,3,1,8
lmfaooooo,1,3,0,2
loading,0,3,3,1
localpolice,1,0,1,3
locate,3,1,0,4
locker,0,2,4,3
lodged,1,1,0,1
lofty,2,1,0,1
logan,0,2,3,7
logged,1,1,0,2
logically,0,1,2,3
logon,3,1,1,0
lois,4,0,4,2
lolololol,2,5,0,5
lonewolf,0,2,1,2
longread,3,2,0,4
longreads,2,6,0,11
longshot,2,0,1,2
longstanding,2,0,1,2
longtime,3,0,2,1
loo,2,0,1,1
lookalike,1,3,0,1
lool,3,3,3,0
loom,0,4,1,7
looms,0,79,97,30
looney,1,2,1,0
loons,2,1,0,4
loony,2,0,1,1
looool,1,2,2,0
looooool,1,1,0,1
loops,0,1,1,1
loots,4,1,1,0
lordjamar,1,1,0,1
lore,1,0,1,1
lorion,2,0,1,2
lorraine,2,1,2,0
losminidelsonido,0,2,3,2
lotusplaceradio,1,0,1,1
loudobbsnews,1,9,0,1
loui,2,4,0,36
louisan,1,2,0,1
louiscounty,1,1,6,0
loumacari10,1,1,0,1
lovable,1,0,1,1
lovelylioness23,4,2,0,2
lovenothate,2,2,0,1
lowe,1,1,0,2
lowering,4,1,1,0
lowiq,0,1,1,3
loyola,1,0,3,1
lozteletobiiz,1,0,4,1
lrjtv,1,1,3,0
lucas,4,9,0,5
lucy,2,0,1,2
luger,1,2,0,2
luggage,0,1,1,1
luiis_3x,0,8,16,26
lukewearechange,13,1,0,79
lulzwarfare,0,1,5,5
lumped,1,1,0,1
lunacy,1,0,1,1
lunatics,4,4,0,1
lunchtime,22,2,0,1
lunchtimedebate,1,0,2,2
lung,1,2,1,0
lungs,1,2,0,2
lupe,1,0,1,1
lure,1,0,1,3
lve,3,0,1,1
lyin,4,1,0,1
lyk,2,1,0,1
lynchmob,2,3,4,0
lyndag1963,2,2,0,6
lyndon,1,1,2,0
lyons,1,0,1,1
lyric,4,0,2,1
m4,0,1,3,2
maced,2,4,0,19
macho,0,2,1,1
mack,0,1,1,1
mackenzie,1,2,2,0
maclean,5,2,1,0
macs,0,1,1,1
maddison,6,0,1,1
madjewesswoman,10,6,0,2
madscape,1,4,0,3
mae,0,1,1,3
magazines,1,2,0,1
magee,1,5,1,0
maggie,1,0,2,1
maggot,1,0,2,1
maggots,0,2,1,1
maggyw519,2,1,0,1
magician,0,1,2,1
mahatma,1,0,1,1
maidan,2,0,1,3
maiden,2,0,1,1
mailbox,1,0,1,1
maim,1,0,1,1
maintaining,1,1,0,4
majalahinternet,3,1,0,3
makarberpoow_,4,0,4,7
makayla,1,1,1,0
makeadifference,1,0,1,1
makeitplain,0,4,2,2
makeover,0,1,1,37
makinahd,4,0,3,10
makings,1,1,1,0
mal,2,0,1,1
malaise,1,1,0,1
malcolmweasel,8,17,0,9
malcom,1,1,0,4
malfeasance,1,1,1,0
maligned,1,0,1,3
malik,3,3,0,12
mall,33,7,0,174
malpractice,19,1,2,0
mana,0,3,1,5
managerial,2,1,0,9
manages,0,5,1,2
manche,3,1,0,5
manchesterunitedfc,1,1,0,4
mancityonlineco,2,6,0,6
mancs,1,0,2,2
mandate,2,0,4,6
mandy,0,1,1,1
mangobeach,1,1,2,0
manhood,1,1,0,2
manhunt,11,4,7,0
maniacs,1,1,0,2
manifesting,0,1,1,1
manipulator,0,1,2,1
mannnn,2,0,1,2
manofsteele,3,1,0,2
manor,0,1,1,1
mansion,1,0,4,4
manslaughter,0,2,8,6
mantle,1,0,1,1
manuals,1,1,1,0
manuel,0,1,36,1
manufacture,1,5,0,1
manupuall,2,1,2,0
manutdstuff_,0,2,1,1
manutdts,1,1,0,1
maplewood,6,2,0,41
mapoli,1,0,1,3
mapping,3,2,2,0
mara,1,10,0,1
marcher,1,0,1,12
marchilliker,2,9,1,0
marchingonferguson,3,3,0,2
marcia,2,0,2,2
margaretherapy,1,0,1,5
marginalized,3,6,0,6
mariacorley,2,1,0,2
mariah,2,0,3,2
mariclaire_mann,3,0,4,2
marie,0,3,1,5
marinemom0621,4,9,9,0
marinerecondad,9,27,0,5
markbland,1,1,0,5
marking,0,3,1,1
markknoller,1,1,1,0
marklevin,0,3,1,1
marksman,1,1,0,1
maroonvillage,0,5,4,5
marriageequality,1,0,2,3
marrying,0,2,1,2
marshal,2,0,1,6
marshals,1,2,0,2
marshmallow,1,1,0,1
marthamaccallum,9,1,0,1
marvel,0,5,5,2
marvin,2,0,3,4
marx,3,1,0,3
marxist,0,8,1,4
maryille,2,0,1,4
marypatriott,0,1,1,1
maryteatowel,2,2,0,2
mas,0,1,3,1
mascot,1,0,7,5
maserati,6,0,24,6
mash,2,3,0,2
mashtech,0,1,3,3
massacred,1,1,0,1
masse,3,0,1,2
masseyferguson,1,4,0,1
massively,1,0,1,2
mastermind,1,1,1,0
mastermind5151,7,13,3,0
mata,3,0,4,180
matchday,0,1,1,1
matched,4,6,0,13
matching,3,15,0,6
mater,0,1,5,3
mates,0,1,2,12
mathematics,0,1,1,4
mathew,1,1,0,1
matos,0,8,4,8
matt_holck,11,0,8,10
mattmcwhorter,0,1,3,1
mattmurph24,1,3,0,3
mattrindge,10,0,3,3
mau,0,2,3,1
maximus00000001,3,0,2,5
maxonmovies,0,1,1,1
mayne,1,1,0,1
mayoral,4,0,2,3
mayors,0,2,5,36
maytag,1,0,1,1
mbfw,3,0,2,2
mbuyisenindlozi,2,2,0,1
mcblondeland,0,1,1,5
mccain,8,1,0,3
mccall,1,2,1,0
mccarthy,2,0,3,3
mcclair,2,11,0,1
mcclellan,0,3,8,4
mcclung,2,1,1,0
mccoist,2,0,6,3
mcconnell,5,1,0,3
mcfc,4,9,0,11
mcggov,1,2,0,1
mcguire,1,0,1,1
mch7576,4,1,2,0
mchammer,1,0,2,3
mcilroy,1,0,4,5
mckesson,4,5,0,15
mckinney,4,2,0,11
mclaughlan,1,1,0,1
mcneil,1,1,0,1
mcshanerachel,2,3,0,1
mdcontrera,1,1,0,2
mdk06792015,12,9,0,3
mea,1,0,5,1
measure,4,10,4,0
mechanic,1,2,0,2
mechanism,1,3,1,0
mechanisms,1,1,0,1
meche64,4,2,0,3
